%eval_id                 interface                A1                       Width                    A2                       footStepCount            personOnTrain            personOnStation          time                     
1                        NO_ID                    40                       2.4                      20                       24                       1500                     50                       2.7791551882461          
2                        NO_ID                    39.96                    2.4                      20                       24                       1500                     50                       2.7791551882461          
3                        NO_ID                    39.84                    2.4                      20                       24                       1500                     50                       2.7791551882461          
4                        NO_ID                    39.68                    2.4                      20                       24                       1500                     50                       2.7791551882461          
5                        NO_ID                    40                       2.4024                   20                       24                       1500                     50                       2.77906697004924         
6                        NO_ID                    40                       2.4096                   20                       24                       1500                     50                       2.77880236794171         
7                        NO_ID                    40                       2.3904                   20                       24                       1500                     50                       2.77950814854002         
8                        NO_ID                    39.84                    2.4096                   20                       24                       1500                     50                       2.77880236794171         
9                        NO_ID                    40                       2.4                      20.02                    24                       1500                     50                       2.7791551882461          
10                       NO_ID                    40                       2.4                      20.08                    24                       1500                     50                       2.7791551882461          
11                       NO_ID                    40                       2.4                      20.16                    24                       1500                     50                       2.7791551882461          
12                       NO_ID                    39.84                    2.4                      20.08                    24                       1500                     50                       2.7791551882461          
13                       NO_ID                    40                       2.4096                   20.08                    24                       1500                     50                       2.77880236794171         
14                       NO_ID                    40                       2.4                      20                       24.024                   1500                     50                       2.7791551882461          
15                       NO_ID                    40                       2.4                      20                       24.096                   1500                     50                       2.7791551882461          
16                       NO_ID                    40                       2.4                      20                       23.904                   1500                     50                       2.7791551882461          
17                       NO_ID                    39.84                    2.4                      20                       24.096                   1500                     50                       2.7791551882461          
18                       NO_ID                    40                       2.4096                   20                       24.096                   1500                     50                       2.77880236794171         
19                       NO_ID                    40                       2.4                      20.08                    24.096                   1500                     50                       2.7791551882461          
20                       NO_ID                    40                       2.4                      20                       24                       1501.5                   50                       2.78145087235996         
21                       NO_ID                    40                       2.4                      20                       24                       1506                     50                       2.78604224058769         
22                       NO_ID                    40                       2.4                      20                       24                       1494                     50                       2.7722681359045          
23                       NO_ID                    39.84                    2.4                      20                       24                       1506                     50                       2.78604224058769         
24                       NO_ID                    40                       2.4096                   20                       24                       1506                     50                       2.78568805452729         
25                       NO_ID                    40                       2.4                      20.08                    24                       1506                     50                       2.78604224058769         
26                       NO_ID                    40                       2.4                      20                       24.096                   1506                     50                       2.78604224058769         
27                       NO_ID                    40                       2.4                      20                       24                       1500                     50.05                    2.7791551882461          
28                       NO_ID                    40                       2.4                      20                       24                       1500                     50.2                     2.7791551882461          
29                       NO_ID                    40                       2.4                      20                       24                       1500                     49.8                     2.7791551882461          
30                       NO_ID                    39.84                    2.4                      20                       24                       1500                     50.2                     2.7791551882461          
31                       NO_ID                    40                       2.4096                   20                       24                       1500                     50.2                     2.77880236794171         
32                       NO_ID                    40                       2.4                      20.08                    24                       1500                     50.2                     2.7791551882461          
33                       NO_ID                    40                       2.4                      20                       24.096                   1500                     50.2                     2.7791551882461          
34                       NO_ID                    40                       2.4                      20                       24                       1506                     50.2                     2.78604224058769         
35                       NO_ID                    40                       1.2                      20                       24                       1423.0924651905          50                       2.73375706214689         
36                       NO_ID                    39.96                    1.2                      20                       24                       1423.0924651905          50                       2.73375706214689         
37                       NO_ID                    40                       1.2012                   20                       24                       1423.0924651905          50                       2.73371298469813         
38                       NO_ID                    40                       1.2                      20.02                    24                       1423.0924651905          50                       2.73375706214689         
39                       NO_ID                    40                       1.2                      20                       24.024                   1423.0924651905          50                       2.73375706214689         
40                       NO_ID                    40                       1.2                      20                       24                       1424.51555765569         50                       2.73611111111111         
41                       NO_ID                    40                       1.2                      20                       24                       1423.0924651905          50.05                    2.73375706214689         
42                       NO_ID                    39.84                    1.2                      20                       24                       1423.0924651905          50                       2.73375706214689         
43                       NO_ID                    39.68                    1.2                      20                       24                       1423.0924651905          50                       2.73375706214689         
44                       NO_ID                    40                       1.2048                   20                       24                       1423.0924651905          50                       2.73358076579783         
45                       NO_ID                    40                       1.2096                   20                       24                       1423.0924651905          50                       2.73340450529836         
46                       NO_ID                    39.84                    1.2048                   20                       24                       1423.0924651905          50                       2.73358076579783         
47                       NO_ID                    40                       1.2                      20.08                    24                       1423.0924651905          50                       2.73375706214689         
48                       NO_ID                    40                       1.2                      20.16                    24                       1423.0924651905          50                       2.73375706214689         
