%eval_id interface              x              y         z 
1            NO_ID             10              5             75 
2            NO_ID    9.699705742    5.151656145    67.54473044 
3            NO_ID    8.498528709    5.758280727    39.06719328 
4            NO_ID    3.754260611    8.154255319   -52.39740708 
5            NO_ID    3.511372276    8.681808866   -63.04406993 
6            NO_ID    2.904470375             10   -91.56405184 
7            NO_ID     2.66158204             10   -92.91598105 
8            NO_ID    2.441631911             10   -94.03843361 
9            NO_ID   0.5902780566             10   -99.65157182 
10           NO_ID              0             10           -100 
11           NO_ID 0.002922168594             10   -99.99999146 
12           NO_ID -2.095545959e-12             10           -100 
